id;title;overview;release_date;vote_average
74513;Forces spéciales;Afghanistan. Elsa Casanova, grand reporter, est prise en otage par les talibans. Devant l’imminence de son exécution, une unité des Forces Spéciales est envoyée pour la libérer. Dans des paysages à la fois hostiles et magnifiques, une poursuite impitoyable s’engage alors entre ses ex-ravisseurs qui n’entendent pas laisser leur proie leur échapper et ce groupe de soldats qui, au péril de leur vie, n’ont qu’un objectif: la ramener vivante.;2011-11-02;6.7
641501;Comment je suis devenu super-héros;Paris 2020. Dans une société où les surhommes sont banalisés et parfaitement intégrés, une mystérieuse substance procurant des super-pouvoirs à ceux qui n’en ont pas se répand. Face aux incidents qui se multiplient, les lieutenants Moreau et Schaltzmann sont chargés de l’enquête. Avec l’aide de Monté Carlo et Callista, deux anciens justiciers, ils feront tout pour démanteler le trafic. Mais le passé de Moreau ressurgit, et l’enquête se complique...;2020-11-19;6.1
1631;Une vraie jeune fille;'Qui guette Alice à travers le soupirail? Le bruit continu et mécanique. Personne sauf l''effrayant fracas dans sa tête devant la perspective somme toute médiocre de grandes vacances vécues comme une perte de temps interminable. Quand les parents ne vous encadrent plus comme des geôliers avec qui on ne partage rien que le pesant silence des repas. Quand la docilité et la passivité ne sont qu''apparentes. Et cette suspicion permanente. Les rêves des jeunes filles sont sanguinaires, et Alice en est une vraie, qui traine sa docilité et son apparente passivité comme sa culotte en permanence en bas de ses pieds. Car ce qui l''entrave comme un boulet, c''est cette adolescence qui n''en finit pas. Qui est une souffrance incroyable. Et puis il y a Jim.';1976-01-01;5.3
810389;Le Visiteur du futur;2555. Dans un futur dévasté, l’apocalypse menace la Terre. Le dernier espoir repose sur un homme capable de voyager dans le temps. Sa mission : retourner dans le passé et changer le cours des événements. Mais la Brigade Temporelle, une police du temps, le traque à chaque époque. Débute alors une course contre la montre pour le Visiteur du Futur…;2022-09-07;6.4
85140;Le couteau sous la gorge;'Mannequins, Catherine et Florence posent pour des photos coquines. Tout va bien jusqu''au jour où des assassinats éliminent un par un l''entourage de Catherine qui va devoir se méfier car le tueur n''est pas loin.';1986-06-18;4.3
39412;Goodbye Emmanuelle;'Emmanuelle mène dans les Iles Seychelles une vie très heureuse. Bien qu''amoureuse de son mari, Jean, ils vivent l''un et l''autre très librement. Avec quelques amis, ils partagent leur vie et leurs amours. Arrive un jeune metteur en scène, Grégory, qui est à la recherche d''une maison pour tourner un film. Emmanuelle est ravie de voir arriver un homme nouveau. Elle entreprend sa conquête immédiatement sous le regard complice de son mari. Mais, pour la première fois, le mécanisme de leurs amours va s''enrayer. Emmanuelle tombe amoureuse de Grégory et Jean devient le plus conventionnellement du monde jaloux. Obligé de quitter les Seychelles brusquement, Grégory laisse Emmanuelle devant un choix. Refusant de voir une preuve d''amour dans le fait que son mari tente, par un stratagème, de la retenir, Emmanuelle part à la recherche de son amant.';1977-10-14;4.3
967874;Tirailleurs;'1917. Bakary Diallo s''enrôle dans l''armée française pour rejoindre Thierno, son fils de 17 ans, qui a été recruté de force. Envoyés sur le front, père et fils vont devoir affronter la guerre ensemble. Galvanisé par la fougue de son officier qui veut le conduire au cœur de la bataille, Thierno va s''affranchir et apprendre à devenir un homme, tandis que Bakary va tout faire pour l''arracher aux combats et le ramener sain et sauf.';2023-01-04;6
15915;Le Pornographe;'Jacques Laurent est un réalisateur de films pornographiques vieillissant et quelque peu névrosé, qui a connu son heure de gloire dans les années soixante-dix. Aujourd''hui, il est forcé de reprendre son activité suite à des problèmes financiers. Quelques années auparavant, son fils Joseph avait claqué la porte du domicile familial, lorsqu''il avait découvert que son père était un metteur en scène hors norme. Le temps a passé. Jacques et Joseph vont se retrouver au moment où le père cherche comment finir sa vie et le fils comment donner un sens à la sienne.';2001-10-03;4.6
823951;Novembre;'Une plongée au cœur de l''Anti-Terrorisme pendant les 5 jours de traque qui ont suivi les attentats du 13 novembre 2015.';2022-10-05;7.3
412520;Sex Doll;Je m’appelle Virginie je suis encore jeune. Je suis pute. On ne peut pas le dire autrement, de luxe. Là où j’en suis, c’est ce qui pouvait m’arriver de mieux. Je suis indépendante. Je sais me faire respecter. Je gagne très bien ma vie. Et puis je l’ai rencontré. Même pas aimable, même pas riche. Le genre de mec qui a une mission. Une catastrophe… Il cherche la merde et il va la trouver. Et moi avec lui.;2016-12-07;5.9
46738;Incendies;À la lecture du testament de leur mère, Jeanne et Simon Marwan se voient remettre deux enveloppes : l’une destinée à un père qu’ils croyaient mort et l‘autre à un frère dont ils ignoraient l’existence. Jeanne voit dans cet énigmatique legs la clé du silence de sa mère, enfermée dans un mutisme inexpliqué les dernières semaines précédant sa mort. Elle décide immédiatement de partir au Moyen Orient exhumer le passé de cette famille dont elle ne sait presque rien… Simon, lui, n’a que faire des caprices posthumes de cette mère qui s’est toujours montrée distante. Mais son amour pour sa sœur jumelle le poussera bientôt à rejoindre Jeanne et à sillonner avec elle le pays de leurs ancêtres sur la piste d’une mère bien loin de celle qu’ils ont connue.;2010-09-04;8.1
2003;'Anatomie de l''enfer';'Dans ces lieux où on se côtoie sans jamais se rencontrer, où la musique gère la pulsion des corps, il danse, lui, son fiancé, le regard tourné vers lui-même. Il ne la regarde pas. Il est bien trop occupé à fondre son corps à l''hydre primordiale faite du corps des autres. Ils sont tous beaux, ils n''aspirent qu''à se reconnaître dans la beauté de l''autre. Elle est la fille, habillée de noir, si jeune et déjà vêtue du deuil d''elle-même. Dans les toilettes, elle prend un rasoir et entaille son poignet. C''est ainsi qu''ils se rencontrent. Désormais, elle prend sur lui le pouvoir des victimes. Elle paiera le prix qu''il faut pour qu''il la regarde « par là où elle n''est pas regardable », car c''est du regard des hommes qu''est constituée l''obscénité des femmes. Elle l''a choisi parce qu''il n''aime pas les femmes. De ce tête à tête naissent le désir et la haine meurtrière qui l''accompagne.';2004-01-28;4.8
811596;Notre-Dame brûle;Le long métrage de Jean-Jacques Annaud, reconstitue heure par heure l’invraisemblable réalité des évènements du 15 avril 2019 lorsque la cathédrale subissait le plus important sinistre de son histoire. Et comment des femmes et des hommes vont mettre leurs vies en péril dans un sauvetage rocambolesque et héroïque.;2022-03-16;6.6
24402;Emmanuelle;'Emmanuelle est une jeune femme qui vit de manière très libérée avec son mari Jean. Lors du voyage qui la conduit à Bangkok pour rejoindre son époux, Emmanuelle rencontre deux hommes dans l''avion et s''octroie quelques plaisirs fugaces. Durant son séjour, elle fait la connaissance de deux jeunes filles, Marie-Ange et Bee, avec qui elle a une aventure. Jean, quant à lui, décide de pousser Emmanuelle dans les bras d''un sexagénaire pervers...';1974-06-25;5.9
793723;Sentinelle;'De retour à Nice après une mission traumatisante, une soldate d''élite n''hésite pas à utiliser ses talents meurtriers pour traquer l''agresseur de sa sœur.';2021-03-05;5.9
714869;'Qu''est-ce qu''on a tous fait au Bon Dieu ?';'"Ce sont bientôt les 40 ans de mariage de Claude et Marie Verneuil. Pour cette occasion, leurs quatre filles décident d’organiser une grande fête surprise dans la maison familiale de Chinon et d’y inviter les parents de chacun des gendres, pour quelques jours. Claude et Marie vont devoir accueillir sous leur toit les parents de Rachid, David, Chao et Charles : ce séjour ""familial"" s''annonce mouvementé."';2021-12-21;6.4
936074;Ténor;Antoine, jeune banlieusard parisien, suit des études de comptabilité sans grande conviction, partageant son temps entre les battles de rap qu’il pratique avec talent et son job de livreur de sushis. Lors d’une course à l’Opéra Garnier, sa route croise celle de Mme Loyseau, professeur de chant dans la vénérable institution, qui détecte chez Antoine un talent brut à faire éclore. Malgré son absence de culture lyrique, Antoine est fasciné par cette forme d’expression et se laisse convaincre de suivre l’enseignement de Mme Loyseau. Antoine n’a d’autre choix que de mentir à sa famille, ses amis et toute la cité pour qui l’opéra est un truc de bourgeois, loin de leur monde.;2022-05-04;7.2
807862;Peter von Kant;Peter Von Kant, célèbre réalisateur à succès, habite avec son assistant Karl, qu’il se plaît à maltraiter. Grâce à la grande actrice Sidonie, il rencontre et s’éprend d’Amir, un jeune homme d’origine modeste. Il lui propose de partager son appartement et de l’aider à se lancer dans le cinéma...;2022-07-06;5.6
